GO.ID	Term	Annotated	Significant	Expected	Fisher
131	GO:0003830	beta-1,4-mannosylglycoprotein 4-beta-N-a...	7	0	0.04	1.00000
132	GO:0003843	1,3-beta-D-glucan synthase activity	11	0	0.06	1.00000
133	GO:0003849	3-deoxy-7-phosphoheptulonate synthase ac...	3	0	0.02	1.00000
134	GO:0003854	3-beta-hydroxy-delta5-steroid dehydrogen...	21	0	0.11	1.00000
135	GO:0003857	3-hydroxyacyl-CoA dehydrogenase activity	3	0	0.02	1.00000
136	GO:0003871	5-methyltetrahydropteroyltriglutamate-ho...	3	0	0.02	1.00000
137	GO:0003872	6-phosphofructokinase activity	11	0	0.06	1.00000
138	GO:0003883	CTP synthase activity	4	0	0.02	1.00000
139	GO:0003885	D-arabinono-1,4-lactone oxidase activity	4	0	0.02	1.00000
140	GO:0003887	DNA-directed DNA polymerase activity	13	0	0.07	1.00000
141	GO:0003896	DNA primase activity	3	0	0.02	1.00000
142	GO:0003899	DNA-directed 5'-3' RNA polymerase activi...	52	0	0.28	1.00000
143	GO:0003905	alkylbase DNA N-glycosylase activity	7	0	0.04	1.00000
144	GO:0003909	DNA ligase activity	3	0	0.02	1.00000
145	GO:0003910	DNA ligase (ATP) activity	3	0	0.02	1.00000
146	GO:0003916	DNA topoisomerase activity	12	0	0.06	1.00000
147	GO:0003917	DNA topoisomerase type I (single strand ...	6	0	0.03	1.00000
148	GO:0003918	DNA topoisomerase type II (double strand...	8	0	0.04	1.00000
149	GO:0003924	GTPase activity	41	0	0.22	1.00000
150	GO:0003933	GTP cyclohydrolase activity	4	0	0.02	1.00000
151	GO:0003935	GTP cyclohydrolase II activity	3	0	0.02	1.00000
152	GO:0003950	NAD+ ADP-ribosyltransferase activity	4	0	0.02	1.00000
153	GO:0003951	NAD+ kinase activity	3	0	0.02	1.00000
154	GO:0003954	NADH dehydrogenase activity	7	0	0.04	1.00000
155	GO:0003955	NAD(P)H dehydrogenase (quinone) activity	7	0	0.04	1.00000
156	GO:0003968	RNA-directed 5'-3' RNA polymerase activi...	6	0	0.03	1.00000
157	GO:0003995	acyl-CoA dehydrogenase activity	8	0	0.04	1.00000
158	GO:0003997	acyl-CoA oxidase activity	6	0	0.03	1.00000
159	GO:0004014	adenosylmethionine decarboxylase activit...	5	0	0.03	1.00000
160	GO:0004020	adenylylsulfate kinase activity	4	0	0.02	1.00000
161	GO:0004045	aminoacyl-tRNA hydrolase activity	8	0	0.04	1.00000
162	GO:0004066	asparagine synthase (glutamine-hydrolyzi...	4	0	0.02	1.00000
163	GO:0004089	carbonate dehydratase activity	6	0	0.03	1.00000
164	GO:0004096	catalase activity	3	0	0.02	1.00000
165	GO:0004106	chorismate mutase activity	3	0	0.02	1.00000
166	GO:0004126	cytidine deaminase activity	3	0	0.02	1.00000
167	GO:0004129	cytochrome-c oxidase activity	10	0	0.05	1.00000
168	GO:0004143	diacylglycerol kinase activity	6	0	0.03	1.00000
169	GO:0004144	diacylglycerol O-acyltransferase activit...	9	0	0.05	1.00000
170	GO:0004146	dihydrofolate reductase activity	3	0	0.02	1.00000
171	GO:0004175	endopeptidase activity	184	0	0.98	1.00000
172	GO:0004176	ATP-dependent peptidase activity	8	0	0.04	1.00000
173	GO:0004177	aminopeptidase activity	9	0	0.05	1.00000
174	GO:0004180	carboxypeptidase activity	32	0	0.17	1.00000
175	GO:0004185	serine-type carboxypeptidase activity	31	0	0.17	1.00000
176	GO:0004190	aspartic-type endopeptidase activity	56	0	0.3	1.00000
177	GO:0004197	cysteine-type endopeptidase activity	10	0	0.05	1.00000
178	GO:0004222	metalloendopeptidase activity	34	0	0.18	1.00000
179	GO:0004252	serine-type endopeptidase activity	60	0	0.32	1.00000
180	GO:0004298	threonine-type endopeptidase activity	24	0	0.13	1.00000
181	GO:0004326	tetrahydrofolylpolyglutamate synthase ac...	4	0	0.02	1.00000
182	GO:0004332	fructose-bisphosphate aldolase activity	8	0	0.04	1.00000
183	GO:0004345	glucose-6-phosphate dehydrogenase activi...	6	0	0.03	1.00000
184	GO:0004348	glucosylceramidase activity	4	0	0.02	1.00000
185	GO:0004356	glutamate-ammonia ligase activity	7	0	0.04	1.00000
186	GO:0004367	glycerol-3-phosphate dehydrogenase [NAD+...	4	0	0.02	1.00000
187	GO:0004392	heme oxygenase (decyclizing) activity	4	0	0.02	1.00000
188	GO:0004396	hexokinase activity	5	0	0.03	1.00000
189	GO:0004402	histone acetyltransferase activity	12	0	0.06	1.00000
190	GO:0004416	hydroxyacylglutathione hydrolase activit...	3	0	0.02	1.00000
191	GO:0004427	inorganic diphosphatase activity	8	0	0.04	1.00000
192	GO:0004435	phosphatidylinositol phospholipase C act...	7	0	0.04	1.00000
193	GO:0004448	isocitrate dehydrogenase activity	3	0	0.02	1.00000
194	GO:0004450	isocitrate dehydrogenase (NADP+) activit...	3	0	0.02	1.00000
195	GO:0004451	isocitrate lyase activity	3	0	0.02	1.00000
196	GO:0004470	malic enzyme activity	6	0	0.03	1.00000
197	GO:0004471	malate dehydrogenase (decarboxylating) (...	6	0	0.03	1.00000
198	GO:0004478	methionine adenosyltransferase activity	4	0	0.02	1.00000
199	GO:0004484	mRNA guanylyltransferase activity	3	0	0.02	1.00000
200	GO:0004486	methylenetetrahydrofolate dehydrogenase ...	3	0	0.02	1.00000
201	GO:0004488	methylenetetrahydrofolate dehydrogenase ...	3	0	0.02	1.00000
202	GO:0004499	N,N-dimethylaniline monooxygenase activi...	10	0	0.05	1.00000
203	GO:0004512	inositol-3-phosphate synthase activity	3	0	0.02	1.00000
204	GO:0004518	nuclease activity	78	0	0.42	1.00000
205	GO:0004519	endonuclease activity	33	0	0.18	1.00000
206	GO:0004520	endodeoxyribonuclease activity	4	0	0.02	1.00000
207	GO:0004521	endoribonuclease activity	16	0	0.09	1.00000
208	GO:0004525	ribonuclease III activity	9	0	0.05	1.00000
209	GO:0004527	exonuclease activity	24	0	0.13	1.00000
210	GO:0004536	deoxyribonuclease activity	6	0	0.03	1.00000
211	GO:0004540	ribonuclease activity	22	0	0.12	1.00000
212	GO:0004549	tRNA-specific ribonuclease activity	3	0	0.02	1.00000
213	GO:0004550	nucleoside diphosphate kinase activity	5	0	0.03	1.00000
214	GO:0004559	alpha-mannosidase activity	9	0	0.05	1.00000
215	GO:0004568	chitinase activity	8	0	0.04	1.00000
216	GO:0004571	mannosyl-oligosaccharide 1,2-alpha-manno...	5	0	0.03	1.00000
217	GO:0004576	oligosaccharyl transferase activity	6	0	0.03	1.00000
218	GO:0004579	dolichyl-diphosphooligosaccharide-protei...	4	0	0.02	1.00000
219	GO:0004602	glutathione peroxidase activity	8	0	0.04	1.00000
220	GO:0004609	phosphatidylserine decarboxylase activit...	3	0	0.02	1.00000
221	GO:0004611	phosphoenolpyruvate carboxykinase activi...	4	0	0.02	1.00000
222	GO:0004616	phosphogluconate dehydrogenase (decarbox...	9	0	0.05	1.00000
223	GO:0004618	phosphoglycerate kinase activity	3	0	0.02	1.00000
224	GO:0004619	phosphoglycerate mutase activity	6	0	0.03	1.00000
225	GO:0004620	phospholipase activity	9	0	0.05	1.00000
226	GO:0004629	phospholipase C activity	7	0	0.04	1.00000
227	GO:0004634	phosphopyruvate hydratase activity	3	0	0.02	1.00000
228	GO:0004640	phosphoribosylanthranilate isomerase act...	3	0	0.02	1.00000
229	GO:0004645	1,4-alpha-oligoglucan phosphorylase acti...	4	0	0.02	1.00000
230	GO:0004650	polygalacturonase activity	10	0	0.05	1.00000
231	GO:0004652	polynucleotide adenylyltransferase activ...	4	0	0.02	1.00000
232	GO:0004659	prenyltransferase activity	11	0	0.06	1.00000
233	GO:0004664	prephenate dehydratase activity	6	0	0.03	1.00000
234	GO:0004673	protein histidine kinase activity	10	0	0.05	1.00000
235	GO:0004674	protein serine/threonine kinase activity	35	0	0.19	1.00000
236	GO:0004721	phosphoprotein phosphatase activity	87	0	0.46	1.00000
237	GO:0004722	protein serine/threonine phosphatase act...	65	0	0.35	1.00000
238	GO:0004725	protein tyrosine phosphatase activity	3	0	0.02	1.00000
239	GO:0004733	pyridoxamine-phosphate oxidase activity	3	0	0.02	1.00000
240	GO:0004743	pyruvate kinase activity	9	0	0.05	1.00000
241	GO:0004749	ribose phosphate diphosphokinase activit...	3	0	0.02	1.00000
242	GO:0004751	ribose-5-phosphate isomerase activity	4	0	0.02	1.00000
243	GO:0004779	sulfate adenylyltransferase activity	4	0	0.02	1.00000
244	GO:0004781	sulfate adenylyltransferase (ATP) activi...	4	0	0.02	1.00000
245	GO:0004784	superoxide dismutase activity	4	0	0.02	1.00000
246	GO:0004799	thymidylate synthase activity	3	0	0.02	1.00000
247	GO:0004806	triglyceride lipase activity	3	0	0.02	1.00000
248	GO:0004809	tRNA (guanine-N2-)-methyltransferase act...	4	0	0.02	1.00000
249	GO:0004812	aminoacyl-tRNA ligase activity	43	0	0.23	1.00000
250	GO:0004813	alanine-tRNA ligase activity	3	0	0.02	1.00000
251	GO:0004827	proline-tRNA ligase activity	3	0	0.02	1.00000
252	GO:0004834	tryptophan synthase activity	3	0	0.02	1.00000
253	GO:0004842	ubiquitin-protein transferase activity	78	0	0.42	1.00000
254	GO:0004843	cysteine-type deubiquitinase activity	7	0	0.04	1.00000
255	GO:0004860	protein kinase inhibitor activity	7	0	0.04	1.00000
256	GO:0004861	cyclin-dependent protein serine/threonin...	7	0	0.04	1.00000
257	GO:0004866	endopeptidase inhibitor activity	13	0	0.07	1.00000
258	GO:0004867	serine-type endopeptidase inhibitor acti...	3	0	0.02	1.00000
259	GO:0004869	cysteine-type endopeptidase inhibitor ac...	8	0	0.04	1.00000
260	GO:0004888	transmembrane signaling receptor activit...	13	0	0.07	1.00000
261	GO:0004970	ionotropic glutamate receptor activity	11	0	0.06	1.00000
262	GO:0005048	signal sequence binding	7	0	0.04	1.00000
263	GO:0005096	GTPase activator activity	18	0	0.1	1.00000
264	GO:0005102	signaling receptor binding	4	0	0.02	1.00000
265	GO:0005198	structural molecule activity	322	0	1.72	1.00000
266	GO:0005216	ion channel activity	52	0	0.28	1.00000
267	GO:0005230	extracellular ligand-gated ion channel a...	11	0	0.06	1.00000
268	GO:0005231	excitatory extracellular ligand-gated io...	3	0	0.02	1.00000
269	GO:0005234	extracellularly glutamate-gated ion chan...	3	0	0.02	1.00000
270	GO:0005244	voltage-gated ion channel activity	10	0	0.05	1.00000
271	GO:0005247	voltage-gated chloride channel activity	7	0	0.04	1.00000
272	GO:0005253	anion channel activity	10	0	0.05	1.00000
273	GO:0005254	chloride channel activity	7	0	0.04	1.00000
274	GO:0005261	cation channel activity	15	0	0.08	1.00000
275	GO:0005319	lipid transporter activity	4	0	0.02	1.00000
276	GO:0005337	nucleoside transmembrane transporter act...	3	0	0.02	1.00000
277	GO:0005342	organic acid transmembrane transporter a...	14	0	0.07	1.00000
278	GO:0005346	purine ribonucleotide transmembrane tran...	3	0	0.02	1.00000
279	GO:0005347	ATP transmembrane transporter activity	3	0	0.02	1.00000
280	GO:0005351	carbohydrate:proton symporter activity	5	0	0.03	1.00000
281	GO:0005375	copper ion transmembrane transporter act...	5	0	0.03	1.00000
282	GO:0005402	carbohydrate:cation symporter activity	5	0	0.03	1.00000
283	GO:0005452	inorganic anion exchanger activity	5	0	0.03	1.00000
284	GO:0005471	ATP:ADP antiporter activity	3	0	0.02	1.00000
285	GO:0005509	calcium ion binding	78	0	0.42	1.00000
286	GO:0005536	glucose binding	5	0	0.03	1.00000
287	GO:0005543	phospholipid binding	27	0	0.14	1.00000
288	GO:0005544	calcium-dependent phospholipid binding	6	0	0.03	1.00000
289	GO:0008017	microtubule binding	78	0	0.42	1.00000
290	GO:0008047	enzyme activator activity	21	0	0.11	1.00000
291	GO:0008061	chitin binding	5	0	0.03	1.00000
292	GO:0008066	glutamate receptor activity	11	0	0.06	1.00000
293	GO:0008079	translation termination factor activity	10	0	0.05	1.00000
294	GO:0008080	N-acetyltransferase activity	41	0	0.22	1.00000
295	GO:0008081	phosphoric diester hydrolase activity	20	0	0.11	1.00000
296	GO:0008083	growth factor activity	4	0	0.02	1.00000
297	GO:0008097	5S rRNA binding	4	0	0.02	1.00000
298	GO:0008107	galactoside 2-alpha-L-fucosyltransferase...	3	0	0.02	1.00000
299	GO:0008113	peptide-methionine (S)-S-oxide reductase...	5	0	0.03	1.00000
300	GO:0008121	ubiquinol-cytochrome-c reductase activit...	5	0	0.03	1.00000
301	GO:0008131	primary amine oxidase activity	8	0	0.04	1.00000
302	GO:0008134	transcription factor binding	6	0	0.03	1.00000
303	GO:0008135	translation factor activity, RNA binding	61	0	0.32	1.00000
304	GO:0008137	NADH dehydrogenase (ubiquinone) activity	7	0	0.04	1.00000
305	GO:0008138	protein tyrosine/serine/threonine phosph...	16	0	0.09	1.00000
306	GO:0008146	sulfotransferase activity	6	0	0.03	1.00000
307	GO:0008168	methyltransferase activity	179	0	0.95	1.00000
308	GO:0008170	N-methyltransferase activity	18	0	0.1	1.00000
309	GO:0008171	O-methyltransferase activity	20	0	0.11	1.00000
310	GO:0008172	S-methyltransferase activity	3	0	0.02	1.00000
311	GO:0008173	RNA methyltransferase activity	19	0	0.1	1.00000
312	GO:0008175	tRNA methyltransferase activity	6	0	0.03	1.00000
313	GO:0008192	RNA guanylyltransferase activity	5	0	0.03	1.00000
314	GO:0008199	ferric iron binding	6	0	0.03	1.00000
315	GO:0008200	ion channel inhibitor activity	5	0	0.03	1.00000
316	GO:0008235	metalloexopeptidase activity	3	0	0.02	1.00000
317	GO:0008236	serine-type peptidase activity	110	0	0.59	1.00000
318	GO:0008237	metallopeptidase activity	41	0	0.22	1.00000
319	GO:0008238	exopeptidase activity	46	0	0.25	1.00000
320	GO:0008242	omega peptidase activity	5	0	0.03	1.00000
321	GO:0008271	secondary active sulfate transmembrane t...	9	0	0.05	1.00000
322	GO:0008276	protein methyltransferase activity	17	0	0.09	1.00000
323	GO:0008289	lipid binding	60	0	0.32	1.00000
324	GO:0008308	voltage-gated anion channel activity	10	0	0.05	1.00000
325	GO:0008312	7S RNA binding	9	0	0.05	1.00000
326	GO:0008318	protein prenyltransferase activity	3	0	0.02	1.00000
327	GO:0008324	cation transmembrane transporter activit...	126	0	0.67	1.00000
328	GO:0008373	sialyltransferase activity	3	0	0.02	1.00000
329	GO:0008374	O-acyltransferase activity	20	0	0.11	1.00000
330	GO:0008375	acetylglucosaminyltransferase activity	39	0	0.21	1.00000
331	GO:0008378	galactosyltransferase activity	20	0	0.11	1.00000
332	GO:0008408	3'-5' exonuclease activity	18	0	0.1	1.00000
333	GO:0008417	fucosyltransferase activity	6	0	0.03	1.00000
334	GO:0008443	phosphofructokinase activity	12	0	0.06	1.00000
335	GO:0008474	palmitoyl-(protein) hydrolase activity	4	0	0.02	1.00000
336	GO:0008483	transaminase activity	14	0	0.07	1.00000
337	GO:0008509	anion transmembrane transporter activity	34	0	0.18	1.00000
338	GO:0008514	organic anion transmembrane transporter ...	4	0	0.02	1.00000
339	GO:0008519	ammonium transmembrane transporter activ...	5	0	0.03	1.00000
340	GO:0008641	ubiquitin-like modifier activating enzym...	13	0	0.07	1.00000
341	GO:0008686	3,4-dihydroxy-2-butanone-4-phosphate syn...	3	0	0.02	1.00000
342	GO:0008725	DNA-3-methyladenine glycosylase activity	6	0	0.03	1.00000
343	GO:0008757	S-adenosylmethionine-dependent methyltra...	24	0	0.13	1.00000
344	GO:0008839	4-hydroxy-tetrahydrodipicolinate reducta...	3	0	0.02	1.00000
345	GO:0008883	glutamyl-tRNA reductase activity	3	0	0.02	1.00000
346	GO:0008889	glycerophosphodiester phosphodiesterase ...	7	0	0.04	1.00000
347	GO:0008963	phospho-N-acetylmuramoyl-pentapeptide-tr...	3	0	0.02	1.00000
348	GO:0008964	phosphoenolpyruvate carboxylase activity	3	0	0.02	1.00000
349	GO:0009001	serine O-acetyltransferase activity	5	0	0.03	1.00000
350	GO:0009055	electron transfer activity	103	0	0.55	1.00000
351	GO:0009678	pyrophosphate hydrolysis-driven proton t...	15	0	0.08	1.00000
352	GO:0009916	alternative oxidase activity	3	0	0.02	1.00000
353	GO:0009982	pseudouridine synthase activity	17	0	0.09	1.00000
354	GO:0010181	FMN binding	13	0	0.07	1.00000
355	GO:0010277	chlorophyllide a oxygenase [overall] act...	4	0	0.02	1.00000
356	GO:0010309	acireductone dioxygenase [iron(II)-requi...	4	0	0.02	1.00000
357	GO:0010333	terpene synthase activity	8	0	0.04	1.00000
358	GO:0010340	carboxyl-O-methyltransferase activity	4	0	0.02	1.00000
359	GO:0015018	galactosylgalactosylxylosylprotein 3-bet...	4	0	0.02	1.00000
360	GO:0015020	glucuronosyltransferase activity	5	0	0.03	1.00000
361	GO:0015035	protein-disulfide reductase activity	102	0	0.54	1.00000
362	GO:0015036	disulfide oxidoreductase activity	102	0	0.54	1.00000
363	GO:0015075	ion transmembrane transporter activity	186	0	0.99	1.00000
364	GO:0015078	proton transmembrane transporter activit...	62	0	0.33	1.00000
365	GO:0015079	potassium ion transmembrane transporter ...	12	0	0.06	1.00000
366	GO:0015095	magnesium ion transmembrane transporter ...	8	0	0.04	1.00000
367	GO:0015098	molybdate ion transmembrane transporter ...	5	0	0.03	1.00000
368	GO:0015103	inorganic anion transmembrane transporte...	30	0	0.16	1.00000
369	GO:0015108	chloride transmembrane transporter activ...	7	0	0.04	1.00000
370	GO:0015116	sulfate transmembrane transporter activi...	10	0	0.05	1.00000
371	GO:0015144	carbohydrate transmembrane transporter a...	6	0	0.03	1.00000
372	GO:0015171	amino acid transmembrane transporter act...	14	0	0.07	1.00000
373	GO:0015215	nucleotide transmembrane transporter act...	3	0	0.02	1.00000
374	GO:0015216	purine nucleotide transmembrane transpor...	3	0	0.02	1.00000
375	GO:0015217	ADP transmembrane transporter activity	3	0	0.02	1.00000
376	GO:0015252	proton channel activity	10	0	0.05	1.00000
377	GO:0015267	channel activity	52	0	0.28	1.00000
378	GO:0015276	ligand-gated ion channel activity	11	0	0.06	1.00000
379	GO:0015293	symporter activity	6	0	0.03	1.00000
380	GO:0015294	solute:cation symporter activity	6	0	0.03	1.00000
381	GO:0015295	solute:proton symporter activity	5	0	0.03	1.00000
382	GO:0015298	solute:cation antiporter activity	22	0	0.12	1.00000
383	GO:0015299	solute:proton antiporter activity	22	0	0.12	1.00000
384	GO:0015318	inorganic molecular entity transmembrane...	173	0	0.92	1.00000
385	GO:0015399	primary active transmembrane transporter...	74	0	0.39	1.00000
386	GO:0015453	oxidoreduction-driven active transmembra...	23	0	0.12	1.00000
387	GO:0015605	organophosphate ester transmembrane tran...	3	0	0.02	1.00000
388	GO:0015631	tubulin binding	79	0	0.42	1.00000
389	GO:0015923	mannosidase activity	10	0	0.05	1.00000
390	GO:0015924	mannosyl-oligosaccharide mannosidase act...	5	0	0.03	1.00000
391	GO:0015930	glutamate synthase activity	3	0	0.02	1.00000
392	GO:0015932	nucleobase-containing compound transmemb...	6	0	0.03	1.00000
393	GO:0016149	translation release factor activity, cod...	8	0	0.04	1.00000
394	GO:0016151	nickel cation binding	4	0	0.02	1.00000
